sample,shoulder_pitch_joint,shoulder_yaw_joint,shoulder_roll_joint,elbow_pitch_joint,wrist_roll_joint,wrist_pitch_joint,wrist_yaw_joint
103,0.012,0.066,0.048,0.096,0.024,0.06,0.024
104,0.024,0.084,0.042,0.066,0.024,0.066,0.024
105,0.018,0.096,0.048,0.072,0.03,0.054,0.018
106,0.024,0.084,0.06,0.078,0.024,0.096,0.018
107,0.03,0.12,0.054,0.078,0.024,0.072,0.024
108,0.036,0.084,0.066,0.084,0.024,0.072,0.018
109,0.03,0.12,0.066,0.078,0.024,0.066,0.018
110,0.03,0.126,0.06,0.126,0.03,0.06,0.024
111,0.036,0.096,0.066,0.096,0.03,0.078,0.024
112,0.036,0.084,0.066,0.096,0.024,0.078,0.012
113,0.036,0.084,0.066,0.102,0.03,0.084,0.018
114,0.036,0.114,0.066,0.084,0.036,0.084,0.024
115,0.042,0.102,0.054,0.096,0.024,0.09,0.024
116,0.036,0.09,0.108,0.102,0.024,0.084,0.018
117,0.042,0.084,0.066,0.108,0.03,0.096,0.024
118,0.042,0.09,0.066,0.084,0.024,0.084,0.024
119,0.036,0.096,0.084,0.108,0.024,0.078,0.03
120,0.036,0.084,0.078,0.114,0.03,0.078,0.018
121,0.036,0.102,0.072,0.102,0.036,0.066,0.018
122,0.036,0.096,0.06,0.096,0.024,0.078,0.024
123,0.042,0.084,0.066,0.096,0.024,0.108,0.018
124,0.042,0.066,0.066,0.102,0.024,0.072,0.024
125,0.036,0.072,0.078,0.102,0.024,0.072,0.03
126,0.048,0.072,0.078,0.102,0.024,0.102,0.024
127,0.042,0.06,0.072,0.102,0.03,0.084,0.03
128,0.042,0.066,0.096,0.102,0.024,0.072,0.024
129,0.042,0.084,0.066,0.108,0.024,0.078,0.024
130,0.042,0.066,0.078,0.096,0.024,0.084,0.03
131,0.048,0.096,0.072,0.102,0.024,0.078,0.024
132,0.054,0.06,0.078,0.126,0.024,0.102,0.024
133,0.048,0.06,0.072,0.108,0.018,0.078,0.024
134,0.048,0.09,0.078,0.12,0.018,0.102,0.024
135,0.048,0.06,0.072,0.114,0.024,0.072,0.018
136,0.048,0.06,0.108,0.102,0.018,0.078,0.024
137,0.054,0.06,0.078,0.108,0.03,0.018,0.024
138,0.042,0.072,0.078,0.114,0.03,0.066,0.024
139,0.048,0.072,0.078,0.12,0.024,0.078,0.024
140,0.048,0.078,0.072,0.12,0.012,0.078,0.024
141,0.048,0.066,0.072,0.12,0.0,0.072,0.024
142,0.054,0.054,0.072,0.102,0.006,0.078,0.024
143,0.054,0.06,0.072,0.108,0.03,0.078,0.018
144,0.048,0.06,0.078,0.12,0.024,0.072,0.03
145,0.054,0.06,0.084,0.132,0.018,0.072,0.03
146,0.048,0.054,0.06,0.114,0.024,0.066,0.018
147,0.042,0.048,0.072,0.102,0.012,0.066,0.018
148,0.048,0.054,0.072,0.084,0.018,0.072,0.018
149,0.048,0.054,0.078,0.108,0.018,0.06,0.024
150,0.048,0.078,0.072,0.114,0.024,0.06,0.018
151,0.042,0.084,0.072,0.12,0.036,0.078,0.018
152,0.042,0.066,0.066,0.108,0.024,0.06,0.024
153,0.042,0.102,0.078,0.108,0.018,0.06,0.018
154,0.036,0.084,0.114,0.126,0.006,0.072,0.018
155,0.042,0.084,0.084,0.126,0.012,0.066,0.018
156,0.036,0.108,0.078,0.12,0.006,0.06,0.018
157,0.042,0.126,0.078,0.108,0.018,0.066,0.018
158,0.042,0.09,0.09,0.114,0.012,0.066,0.018
159,0.048,0.102,0.102,0.126,0.024,0.066,0.018
160,0.054,0.12,0.09,0.126,0.018,0.06,0.018
161,0.054,0.138,0.108,0.126,0.006,0.06,0.012
162,0.054,0.084,0.132,0.114,0.012,0.048,0.006
163,0.048,0.114,0.108,0.12,0.024,0.054,0.006
164,0.048,0.138,0.138,0.132,0.024,0.06,0.012
165,0.054,0.102,0.12,0.126,0.006,0.066,0.018
166,0.06,0.114,0.12,0.12,0.006,0.06,0.012
167,0.072,0.108,0.12,0.114,0.012,0.072,0.006
168,0.06,0.15,0.18,0.126,0.012,0.06,0.012
169,0.066,0.126,0.132,0.114,0.012,0.06,0.012
170,0.072,0.138,0.18,0.126,0.012,0.06,0.012
171,0.072,0.174,0.138,0.114,0.012,0.054,0.012
172,0.078,0.126,0.21,0.114,0.018,0.06,0.006
173,0.072,0.144,0.162,0.114,0.018,0.054,0.018
174,0.096,0.144,0.15,0.108,0.012,0.054,0.012
175,0.084,0.108,0.138,0.102,0.018,0.072,0.012
176,0.078,0.108,0.204,0.108,0.012,0.06,0.012
177,0.072,0.108,0.192,0.102,0.012,0.06,0.012
178,0.084,0.114,0.156,0.096,0.012,0.084,0.012
179,0.096,0.12,0.156,0.102,0.018,0.072,0.012
180,0.084,0.072,0.18,0.096,0.012,0.048,0.006
181,0.084,0.072,0.228,0.084,0.012,0.054,0.018
182,0.096,0.072,0.18,0.078,0.006,0.048,0.024
183,0.102,0.078,0.156,0.078,0.006,0.048,0.018
184,0.102,0.066,0.138,0.078,0.0,0.042,0.012
