sample,shoulder_pitch_joint,shoulder_yaw_joint,shoulder_roll_joint,elbow_pitch_joint,wrist_roll_joint,wrist_pitch_joint,wrist_yaw_joint
103,0.0,0.0,0.0,0.012,0.018,0.0,0.018
104,0.0,0.0,0.0,0.012,0.024,0.006,0.012
105,0.0,0.0,0.0,0.012,0.018,0.0,0.018
106,0.0,0.0,0.0,0.018,0.024,0.0,0.018
107,0.0,0.006,0.0,0.012,0.024,0.0,0.012
108,0.0,0.006,0.0,0.012,0.03,0.0,0.012
109,0.0,0.0,0.0,0.018,0.024,0.0,0.012
110,0.0,0.0,0.0,0.012,0.024,0.006,0.012
111,0.0,0.0,0.0,0.012,0.03,0.0,0.012
112,0.0,0.0,0.0,0.012,0.03,0.0,0.006
113,0.0,0.0,0.0,0.018,0.03,0.0,0.006
114,0.0,0.0,0.0,0.024,0.024,0.006,0.012
115,0.0,0.0,0.0,0.018,0.018,0.012,0.018
116,0.0,0.0,0.0,0.012,0.024,0.006,0.012
117,0.0,0.0,0.0,0.018,0.024,0.0,0.018
118,0.0,0.0,0.0,0.018,0.03,0.0,0.012
119,0.0,0.0,0.0,0.018,0.03,0.0,0.018
120,0.0,0.0,0.0,0.012,0.03,0.0,0.018
121,0.0,0.0,0.0,0.018,0.03,0.0,0.012
122,0.0,0.0,0.0,0.018,0.036,0.0,0.012
123,0.0,0.0,0.0,0.012,0.024,0.006,0.012
124,0.0,0.0,0.0,0.024,0.024,0.0,0.018
125,0.0,0.0,0.0,0.024,0.03,0.0,0.018
126,0.0,0.0,0.0,0.018,0.03,0.0,0.018
127,0.006,0.0,0.0,0.024,0.024,0.006,0.012
128,0.0,0.0,0.0,0.024,0.024,0.0,0.012
129,0.0,0.0,0.0,0.018,0.036,0.0,0.018
130,0.006,0.0,0.0,0.018,0.03,0.0,0.018
131,0.006,0.0,0.0,0.024,0.024,0.0,0.012
132,0.006,0.0,0.0,0.03,0.03,0.0,0.018
133,0.0,0.0,0.0,0.024,0.03,0.0,0.018
134,0.006,0.0,0.0,0.024,0.03,0.006,0.012
135,0.006,0.0,0.0,0.024,0.03,0.0,0.018
136,0.0,0.0,0.0,0.024,0.03,0.0,0.018
137,0.006,0.0,0.0,0.03,0.03,0.0,0.018
138,0.006,0.0,0.0,0.03,0.036,0.0,0.018
139,0.012,0.0,0.0,0.03,0.024,0.0,0.012
140,0.012,0.0,0.0,0.03,0.024,0.0,0.012
141,0.006,0.0,0.0,0.024,0.03,0.006,0.012
142,0.006,0.006,0.0,0.024,0.03,0.0,0.012
143,0.006,0.0,0.0,0.024,0.024,0.0,0.018
144,0.012,0.0,0.0,0.03,0.036,0.0,0.018
145,0.006,0.0,0.0,0.036,0.024,0.0,0.018
146,0.018,0.0,0.0,0.036,0.036,0.0,0.012
147,0.024,0.0,0.0,0.03,0.036,0.0,0.018
148,0.036,0.0,0.0,0.03,0.03,0.0,0.012
149,0.03,0.0,0.0,0.036,0.036,0.0,0.018
150,0.018,0.0,0.0,0.03,0.024,0.006,0.012
151,0.018,0.0,0.0,0.03,0.024,0.0,0.012
152,0.018,0.0,0.0,0.03,0.03,0.006,0.018
153,0.018,0.0,0.0,0.036,0.024,0.0,0.024
154,0.018,0.0,0.0,0.042,0.024,0.0,0.018
155,0.024,0.0,0.006,0.036,0.03,0.0,0.018
156,0.024,0.0,0.0,0.03,0.03,0.006,0.018
157,0.024,0.006,0.0,0.03,0.03,0.0,0.0
158,0.024,0.0,0.0,0.03,0.036,0.0,0.018
159,0.024,0.0,0.0,0.03,0.036,0.0,0.018
160,0.036,0.0,0.0,0.036,0.03,0.0,0.012
161,0.036,0.0,0.0,0.036,0.03,0.0,0.024
162,0.036,0.0,0.0,0.042,0.03,0.0,0.018
163,0.036,0.0,0.0,0.042,0.03,0.0,0.018
164,0.048,0.0,0.0,0.06,0.03,0.0,0.018
165,0.042,0.0,0.0,0.048,0.024,0.0,0.018
166,0.036,0.0,0.006,0.048,0.03,0.0,0.024
167,0.042,0.0,0.0,0.042,0.03,0.0,0.012
168,0.036,0.0,0.0,0.042,0.024,0.0,0.018
169,0.042,0.0,0.0,0.042,0.024,0.0,0.018
170,0.03,0.0,0.006,0.048,0.03,0.006,0.012
171,0.042,0.0,0.006,0.048,0.03,0.0,0.012
172,0.042,0.0,0.0,0.054,0.024,0.0,0.012
173,0.042,0.0,0.0,0.048,0.03,0.0,0.012
174,0.066,0.0,0.0,0.048,0.024,0.0,0.012
175,0.06,0.0,0.006,0.054,0.036,0.0,0.012
176,0.054,0.0,0.006,0.048,0.03,0.0,0.018
177,0.048,0.0,0.006,0.042,0.024,0.0,0.018
178,0.048,0.0,0.006,0.048,0.03,0.0,0.012
179,0.054,0.0,0.0,0.06,0.03,0.0,0.018
180,0.048,0.0,0.006,0.048,0.024,0.0,0.018
181,0.066,0.0,0.006,0.054,0.024,0.0,0.006
182,0.06,0.0,0.0,0.06,0.03,0.0,0.012
183,0.06,0.0,0.0,0.054,0.03,0.0,0.012
184,0.048,0.0,0.006,0.072,0.03,0.0,0.006
185,0.06,0.0,0.006,0.054,0.03,0.0,0.0
186,0.102,0.0,0.006,0.054,0.024,0.0,0.012
187,0.066,0.0,0.0,0.066,0.018,0.0,0.006
188,0.06,0.0,0.006,0.054,0.018,0.0,0.012
189,0.06,0.0,0.006,0.054,0.018,0.0,0.012
190,0.066,0.0,0.006,0.06,0.024,0.0,0.018
191,0.06,0.0,0.012,0.054,0.024,0.0,0.012
192,0.066,0.0,0.012,0.048,0.018,0.0,0.012
193,0.06,0.0,0.012,0.06,0.024,0.0,0.006
194,0.06,0.0,0.012,0.06,0.018,0.0,0.012
195,0.072,0.0,0.012,0.078,0.018,0.0,0.012
196,0.06,0.0,0.006,0.06,0.012,0.0,0.012
197,0.06,0.0,0.006,0.072,0.024,0.0,0.012
198,0.06,0.0,0.012,0.084,0.018,0.0,0.012
199,0.054,0.0,0.012,0.06,0.024,0.0,0.012
200,0.066,0.0,0.006,0.072,0.018,0.0,0.012
201,0.078,0.006,0.012,0.06,0.018,0.0,0.006
202,0.066,0.006,0.018,0.072,0.024,0.0,0.012
203,0.054,0.006,0.012,0.06,0.024,0.0,0.012
204,0.054,0.0,0.012,0.06,0.006,0.0,0.018
205,0.06,0.0,0.006,0.06,0.012,0.0,0.012
206,0.078,0.006,0.006,0.072,0.018,0.0,0.006
207,0.066,0.006,0.006,0.072,0.018,0.0,0.012
208,0.072,0.006,0.006,0.066,0.018,0.0,0.012
209,0.066,0.0,0.006,0.066,0.018,0.0,0.006
210,0.054,0.0,0.012,0.096,0.018,0.0,0.012
